,date,link,home,away,away_ML,home_ML,away_open,home_open
4876,20190302,/betting-odds/nba-basketball/3569922/odds/,Cleveland,Detroit,+190,-230,-6,+6
4877,20190302,/betting-odds/nba-basketball/3569925/odds/,Indiana,Orlando,-110,-110,+4½,-4½
4878,20190302,/betting-odds/nba-basketball/3569929/odds/,Miami,Brooklyn,-160,+140,+4,-4
4879,20190302,/betting-odds/nba-basketball/3569935/odds/,Dallas,Memphis,+325,-400,+5,-5
4880,20190302,/betting-odds/nba-basketball/3569932/odds/,Philadelphia,Golden State,-330,+270,-4½,+4½
4881,20190302,/betting-odds/nba-basketball/3569937/odds/,San Antonio,Oklahoma City,-125,+105,+3½,-3½
4882,20190302,/betting-odds/nba-basketball/3569943/odds/,Phoenix,L.A. Lakers,-500,+400,-6½,+6½
4883,20190302,/betting-odds/nba-basketball/3569940/odds/,Utah,Milwaukee,+100,-120,+3½,-3½
4884,20190302,/betting-odds/nba-basketball/3569947/odds/,Denver,New Orleans,+360,-450,+13,-13
4885,20190303,/betting-odds/nba-basketball/3569950/odds/,Charlotte,Portland,-110,-110,-3,+3
4886,20190303,/betting-odds/nba-basketball/3569959/odds/,Boston,Houston,+310,-370,+2½,-2½
4887,20190303,/betting-odds/nba-basketball/3569956/odds/,Chicago,Atlanta,+180,-220,+4,-4
4888,20190303,/betting-odds/nba-basketball/3569953/odds/,L.A. Clippers,New York,-150,+130,+10,-10
4889,20190303,/betting-odds/nba-basketball/3569969/odds/,Cleveland,Orlando,-280,+240,-6,+6
4890,20190303,/betting-odds/nba-basketball/3569964/odds/,Detroit,Toronto,-140,+120,-4½,+4½
4891,20190303,/betting-odds/nba-basketball/3569966/odds/,Washington,Minnesota,-110,-110,+1½,-1½
4892,20190303,/betting-odds/nba-basketball/3569973/odds/,Oklahoma City,Memphis,+383,-480,+10½,-10½
4893,20190304,/betting-odds/nba-basketball/3569979/odds/,Brooklyn,Dallas,-165,+145,+5,-5
4894,20190304,/betting-odds/nba-basketball/3569976/odds/,Miami,Atlanta,+350,-440,+8,-8
4895,20190304,/betting-odds/nba-basketball/3569983/odds/,San Antonio,Denver,-185,+160,PK,PK
4896,20190304,/betting-odds/nba-basketball/3569990/odds/,Phoenix,Milwaukee,-550,+425,-12½,+12½
4897,20190304,/betting-odds/nba-basketball/3569986/odds/,Utah,New Orleans,+165,-190,+9,-9
4898,20190304,/betting-odds/nba-basketball/3569992/odds/,Sacramento,New York,+270,-330,+11½,-11½
4899,20190304,/betting-odds/nba-basketball/3569994/odds/,L.A. Lakers,L.A. Clippers,+160,-185,+4,-4
4900,20190305,/betting-odds/nba-basketball/3569997/odds/,Philadelphia,Orlando,+100,-120,+4½,-4½
4901,20190305,/betting-odds/nba-basketball/3570001/odds/,Indiana,Chicago,+120,-140,+8,-8
4902,20190305,/betting-odds/nba-basketball/3570004/odds/,Toronto,Houston,+350,-440,+3½,-3½
4903,20190305,/betting-odds/nba-basketball/3570007/odds/,Memphis,Portland,-210,+175,-5½,+5½
4904,20190305,/betting-odds/nba-basketball/3570009/odds/,Minnesota,Oklahoma City,-300,+250,+3,-3
4905,20190305,/betting-odds/nba-basketball/3570011/odds/,Golden State,Boston,+700,-1100,+8,-8
4906,20190306,/betting-odds/nba-basketball/3570017/odds/,Charlotte,Miami,+130,-150,+1½,-1½
4907,20190306,/betting-odds/nba-basketball/3570015/odds/,Washington,Dallas,+125,-145,+5,-5
4908,20190306,/betting-odds/nba-basketball/3570014/odds/,Detroit,Minnesota,+185,-225,+4½,-4½
4909,20190306,/betting-odds/nba-basketball/3570019/odds/,Atlanta,San Antonio,-270,+230,+5½,-5½
4910,20190306,/betting-odds/nba-basketball/3570021/odds/,Brooklyn,Cleveland,+235,-275,+9½,-9½
4911,20190306,/betting-odds/nba-basketball/3570026/odds/,New Orleans,Utah,-140,+120,-3½,+3½
4912,20190306,/betting-odds/nba-basketball/3570023/odds/,Chicago,Philadelphia,-160,+140,-6,+6
4913,20190306,/betting-odds/nba-basketball/3570028/odds/,Phoenix,New York,+120,-140,+4,-4
4914,20190306,/betting-odds/nba-basketball/3570030/odds/,Sacramento,Boston,-140,+120,-1,+1
4915,20190306,/betting-odds/nba-basketball/3570031/odds/,L.A. Lakers,Denver,+130,-150,-5½,+5½
4916,20190307,/betting-odds/nba-basketball/3570033/odds/,Milwaukee,Indiana,+210,-250,+10,-10
4917,20190307,/betting-odds/nba-basketball/3570036/odds/,Portland,Oklahoma City,+115,-135,+3½,-3½
4918,20190308,/betting-odds/nba-basketball/3570039/odds/,Charlotte,Washington,+145,-165,+4½,-4½
4919,20190308,/betting-odds/nba-basketball/3570037/odds/,Orlando,Dallas,-140,+120,+7,-7
4920,20190308,/betting-odds/nba-basketball/3570043/odds/,Memphis,Utah,-300,+250,-6,+6
4921,20190308,/betting-odds/nba-basketball/3570047/odds/,Miami,Cleveland,+290,-350,+8½,-8½
4922,20190308,/betting-odds/nba-basketball/3570045/odds/,New Orleans,Toronto,-330,+270,-4½,+4½
4923,20190308,/betting-odds/nba-basketball/3570049/odds/,Houston,Philadelphia,-450,+360,+6½,-6½
4924,20190308,/betting-odds/nba-basketball/3570041/odds/,Chicago,Detroit,-450,+360,-4,+4
4925,20190308,/betting-odds/nba-basketball/3570053/odds/,Golden State,Denver,-140,+120,+5½,-5½
4926,20190308,/betting-odds/nba-basketball/3570051/odds/,L.A. Clippers,Oklahoma City,-185,+160,+1½,-1½
4927,20190309,/betting-odds/nba-basketball/3570054/odds/,New York,Sacramento,-190,+165,-4½,+4½
4928,20190309,/betting-odds/nba-basketball/3570055/odds/,Atlanta,Brooklyn,+100,-120,-3,+3
4929,20190309,/betting-odds/nba-basketball/3570056/odds/,Minnesota,Washington,+380,-475,+6½,-6½
4930,20190309,/betting-odds/nba-basketball/3570057/odds/,L.A. Lakers,Boston,-130,+110,-5,+5
4931,20190309,/betting-odds/nba-basketball/3570058/odds/,Milwaukee,Charlotte,+500,-700,+13½,-13½
4932,20190309,/betting-odds/nba-basketball/3570059/odds/,Portland,Phoenix,+130,-150,+12½,-12½
4933,20190310,/betting-odds/nba-basketball/3570060/odds/,Detroit,Chicago,+170,-200,+8½,-8½
4934,20190310,/betting-odds/nba-basketball/3570061/odds/,Miami,Toronto,+235,-275,-1,+1
4935,20190310,/betting-odds/nba-basketball/3570062/odds/,Philadelphia,Indiana,+260,-320,+5,-5
4936,20190310,/betting-odds/nba-basketball/3570063/odds/,Atlanta,New Orleans,+110,-130,+1,-1
4937,20190310,/betting-odds/nba-basketball/3570064/odds/,Memphis,Orlando,+100,-120,-1,+1
4938,20190310,/betting-odds/nba-basketball/3570065/odds/,Dallas,Houston,-225,+185,-8,+8
4939,20190310,/betting-odds/nba-basketball/3570067/odds/,San Antonio,Milwaukee,-110,-110,-1½,+1½
4940,20190310,/betting-odds/nba-basketball/3570066/odds/,Minnesota,New York,-122,+102,+11½,-11½
4941,20190310,/betting-odds/nba-basketball/3570068/odds/,Golden State,Phoenix,+950,-1450,+17,-17
4942,20190311,/betting-odds/nba-basketball/3568839/odds/,Cleveland,Toronto,-500,+400,-10½,+10½
4943,20190311,/betting-odds/nba-basketball/3568836/odds/,Washington,Sacramento,+110,-130,+2,-2
4944,20190311,/betting-odds/nba-basketball/3568842/odds/,Brooklyn,Detroit,-300,+250,+2½,-2½
4945,20190311,/betting-odds/nba-basketball/3568844/odds/,Houston,Charlotte,-130,+110,+9,-9
4946,20190311,/betting-odds/nba-basketball/3568846/odds/,Utah,Oklahoma City,+265,-325,+3½,-3½
4947,20190311,/betting-odds/nba-basketball/3568848/odds/,L.A. Clippers,Boston,-325,+265,-1½,+1½
4948,20190312,/betting-odds/nba-basketball/3568850/odds/,Indiana,New York,+250,-300,+12,-12
4949,20190312,/betting-odds/nba-basketball/3568852/odds/,Philadelphia,Cleveland,+360,-450,+13½,-13½
4950,20190312,/betting-odds/nba-basketball/3568857/odds/,New Orleans,Milwaukee,-230,+190,-9,+9
4951,20190312,/betting-odds/nba-basketball/3568855/odds/,Chicago,L.A. Lakers,-175,+155,-1,+1
4952,20190312,/betting-odds/nba-basketball/3568859/odds/,Dallas,San Antonio,-105,-115,-5½,+5½
4953,20190312,/betting-odds/nba-basketball/3568861/odds/,Denver,Minnesota,+145,-165,+10½,-10½
4954,20190312,/betting-odds/nba-basketball/3568863/odds/,L.A. Clippers,Portland,-240,+200,-2½,+2½
4955,20190313,/betting-odds/nba-basketball/3568865/odds/,Washington,Orlando,-140,+120,+3,-3
4956,20190313,/betting-odds/nba-basketball/3568871/odds/,Oklahoma City,Brooklyn,+325,-400,+7½,-7½
4957,20190313,/betting-odds/nba-basketball/3568867/odds/,Miami,Detroit,-110,-110,+1½,-1½
4958,20190313,/betting-odds/nba-basketball/3568869/odds/,Atlanta,Memphis,-210,+175,+1,-1
4959,20190313,/betting-odds/nba-basketball/3568873/odds/,Houston,Golden State,+160,-185,+3½,-3½
4960,20190313,/betting-odds/nba-basketball/3568874/odds/,Phoenix,Utah,-150,+130,-7,+7
4961,20190314,/betting-odds/nba-basketball/3568880/odds/,Orlando,Cleveland,-140,+120,+7,-7
4962,20190314,/betting-odds/nba-basketball/3568877/odds/,Indiana,Oklahoma City,+215,-255,+1,-1
4963,20190314,/betting-odds/nba-basketball/3568881/odds/,Boston,Sacramento,+280,-340,+8,-8
4964,20190314,/betting-odds/nba-basketball/3568883/odds/,Toronto,L.A. Lakers,+105,-125,+9½,-9½
4965,20190314,/betting-odds/nba-basketball/3568884/odds/,Utah,Minnesota,+135,-155,+8,-8
4966,20190314,/betting-odds/nba-basketball/3568886/odds/,Denver,Dallas,+475,-650,+11,-11
4967,20190315,/betting-odds/nba-basketball/3568893/odds/,Detroit,L.A. Lakers,+270,-330,+9,-9
4968,20190315,/betting-odds/nba-basketball/3568888/odds/,Philadelphia,Sacramento,+250,-300,+10,-10
4969,20190315,/betting-odds/nba-basketball/3568890/odds/,Washington,Charlotte,+210,-250,+3½,-3½
4970,20190315,/betting-odds/nba-basketball/3568895/odds/,Houston,Phoenix,+475,-650,+13,-13
4971,20190315,/betting-odds/nba-basketball/3568898/odds/,New Orleans,Portland,-380,+315,-8,+8
4972,20190315,/betting-odds/nba-basketball/3568900/odds/,Miami,Milwaukee,-525,+415,-4½,+4½
4973,20190315,/betting-odds/nba-basketball/3568902/odds/,San Antonio,New York,+160,-185,+13,-13
4974,20190315,/betting-odds/nba-basketball/3568904/odds/,L.A. Clippers,Chicago,+340,-425,+8½,-8½
4975,20190316,/betting-odds/nba-basketball/3568906/odds/,Boston,Atlanta,+160,-185,+10,-10
4976,20190316,/betting-odds/nba-basketball/3568911/odds/,Washington,Memphis,+150,-170,+3,-3
4977,20190316,/betting-odds/nba-basketball/3568908/odds/,New Orleans,Phoenix,+230,-270,+1,-1
4978,20190316,/betting-odds/nba-basketball/3568916/odds/,Oklahoma City,Golden State,+280,-340,+1,-1
4979,20190316,/betting-odds/nba-basketball/3568917/odds/,San Antonio,Portland,+113,-133,+1½,-1½
4980,20190316,/betting-odds/nba-basketball/3568913/odds/,Dallas,Cleveland,+100,-120,+6½,-6½
4981,20190316,/betting-odds/nba-basketball/3568920/odds/,Denver,Indiana,+210,-250,+7½,-7½
4982,20190316,/betting-odds/nba-basketball/3568919/odds/,Utah,Brooklyn,-110,-110,+8½,-8½
4983,20190317,/betting-odds/nba-basketball/3568923/odds/,New York,L.A. Lakers,-210,+175,-4,+4
4984,20190317,/betting-odds/nba-basketball/3568924/odds/,Miami,Charlotte,+145,-165,+4,-4
4985,20190317,/betting-odds/nba-basketball/3568927/odds/,Milwaukee,Philadelphia,+270,-330,+6½,-6½
4986,20190317,/betting-odds/nba-basketball/3568929/odds/,Detroit,Toronto,-120,+100,PK,PK
4987,20190317,/betting-odds/nba-basketball/3568933/odds/,Orlando,Atlanta,+120,-140,+7½,-7½
4988,20190317,/betting-odds/nba-basketball/3568931/odds/,Sacramento,Chicago,-140,+120,+6½,-6½
4989,20190317,/betting-odds/nba-basketball/3568936/odds/,Houston,Minnesota,+285,-345,+8,-8
4990,20190317,/betting-odds/nba-basketball/3568935/odds/,L.A. Clippers,Brooklyn,+130,-150,+6,-6
4991,20190318,/betting-odds/nba-basketball/3568940/odds/,Cleveland,Detroit,-225,+185,-7,+7
4992,20190318,/betting-odds/nba-basketball/3568938/odds/,Washington,Utah,+100,-120,-4,+4
4993,20190318,/betting-odds/nba-basketball/3568944/odds/,Boston,Denver,+185,-225,+3,-3
4994,20190318,/betting-odds/nba-basketball/3568942/odds/,Toronto,New York,+125,-145,+12½,-12½
4995,20190318,/betting-odds/nba-basketball/3568947/odds/,Oklahoma City,Miami,+210,-250,+4½,-4½
4996,20190318,/betting-odds/nba-basketball/3568948/odds/,San Antonio,Golden State,-280,+240,-2½,+2½
4997,20190318,/betting-odds/nba-basketball/3568950/odds/,Dallas,New Orleans,-110,-110,+3½,-3½
4998,20190318,/betting-odds/nba-basketball/3568952/odds/,Phoenix,Chicago,+250,-300,+3,-3
4999,20190318,/betting-odds/nba-basketball/3568954/odds/,Portland,Indiana,+100,-120,+3½,-3½
5000,20190319,/betting-odds/nba-basketball/3568957/odds/,Charlotte,Philadelphia,+120,-140,-7½,+7½
5001,20190319,/betting-odds/nba-basketball/3568958/odds/,Atlanta,Houston,-200,+170,-7½,+7½
5002,20190319,/betting-odds/nba-basketball/3568963/odds/,Minnesota,Golden State,-110,-110,-6½,+6½
5003,20190319,/betting-odds/nba-basketball/3568960/odds/,Milwaukee,L.A. Lakers,+255,-310,+13,-13
5004,20190319,/betting-odds/nba-basketball/3568964/odds/,Sacramento,Brooklyn,-120,+100,+3½,-3½
5005,20190319,/betting-odds/nba-basketball/3568966/odds/,L.A. Clippers,Indiana,+145,-165,+5,-5
5006,20190320,/betting-odds/nba-basketball/3568972/odds/,Cleveland,Milwaukee,-500,+400,-10,+10
5007,20190320,/betting-odds/nba-basketball/3568970/odds/,Orlando,New Orleans,-140,+120,+6,-6
5008,20190320,/betting-odds/nba-basketball/3568968/odds/,Philadelphia,Boston,+225,-265,+2,-2
5009,20190320,/betting-odds/nba-basketball/3568974/odds/,New York,Utah,-140,+120,-12,+12
5010,20190320,/betting-odds/nba-basketball/3568979/odds/,Chicago,Washington,-165,+145,-2,+2
5011,20190320,/betting-odds/nba-basketball/3568977/odds/,Memphis,Houston,-370,+310,-4½,+4½
5012,20190320,/betting-odds/nba-basketball/3568981/odds/,San Antonio,Miami,+325,-400,+5½,-5½
