,Start,Away,A-Pts-F,Home,H-Pts-F,Box,OT?,Attend.,Link
0,7:30p,Charlotte Hornets,106,Atlanta Hawks,82,Box Score,,"18,465",/boxscores/200010310ATL.html
1,7:30p,Cleveland Cavaliers,86,New Jersey Nets,82,Box Score,,"14,505",/boxscores/200010310NJN.html
2,7:30p,Washington Wizards,86,Orlando Magic,97,Box Score,,"13,349",/boxscores/200010310ORL.html
3,8:00p,Milwaukee Bucks,93,Dallas Mavericks,97,Box Score,,"16,600",/boxscores/200010310DAL.html
4,8:00p,Philadelphia 76ers,101,New York Knicks,72,Box Score,,"19,763",/boxscores/200010310NYK.html
5,8:00p,Detroit Pistons,104,Toronto Raptors,95,Box Score,,"19,800",/boxscores/200010310TOR.html
6,8:30p,Sacramento Kings,100,Chicago Bulls,81,Box Score,,"21,814",/boxscores/200010310CHI.html
7,8:30p,Minnesota Timberwolves,106,Houston Rockets,98,Box Score,,"11,327",/boxscores/200010310HOU.html
8,8:30p,Indiana Pacers,85,San Antonio Spurs,98,Box Score,,"17,450",/boxscores/200010310SAS.html
9,9:00p,Los Angeles Clippers,94,Utah Jazz,107,Box Score,,"17,824",/boxscores/200010310UTA.html
10,10:30p,Phoenix Suns,94,Golden State Warriors,96,Box Score,,"15,460",/boxscores/200010310GSW.html
11,10:30p,Los Angeles Lakers,96,Portland Trail Blazers,86,Box Score,,"20,270",/boxscores/200010310POR.html
12,10:30p,Seattle SuperSonics,88,Vancouver Grizzlies,94,Box Score,,"15,779",/boxscores/200010310VAN.html
13,7:00p,Detroit Pistons,83,Boston Celtics,103,Box Score,,"17,725",/boxscores/200011010BOS.html
14,7:00p,Toronto Raptors,98,Philadelphia 76ers,104,Box Score,,"19,817",/boxscores/200011010PHI.html
15,7:30p,Washington Wizards,95,Charlotte Hornets,77,Box Score,,"16,043",/boxscores/200011010CHH.html
16,7:30p,Sacramento Kings,100,Cleveland Cavaliers,102,Box Score,2OT,"17,695",/boxscores/200011010CLE.html
17,8:00p,Orlando Magic,79,Miami Heat,105,Box Score,,"16,500",/boxscores/200011010MIA.html
18,10:00p,Denver Nuggets,99,Seattle SuperSonics,112,Box Score,,"17,072",/boxscores/200011010SEA.html
19,10:30p,Utah Jazz,97,Los Angeles Lakers,92,Box Score,,"18,997",/boxscores/200011010LAL.html
20,7:30p,Atlanta Hawks,69,New York Knicks,94,Box Score,,"19,763",/boxscores/200011020NYK.html
21,8:00p,Indiana Pacers,88,Dallas Mavericks,94,Box Score,,"11,750",/boxscores/200011020DAL.html
22,8:00p,Minnesota Timberwolves,91,San Antonio Spurs,103,Box Score,,"14,193",/boxscores/200011020SAS.html
23,8:30p,Milwaukee Bucks,93,Houston Rockets,115,Box Score,,"10,687",/boxscores/200011020HOU.html
24,9:00p,Golden State Warriors,97,Denver Nuggets,101,Box Score,,"15,790",/boxscores/200011020DEN.html
25,9:00p,Portland Trail Blazers,82,Phoenix Suns,108,Box Score,,"18,436",/boxscores/200011020PHO.html
26,10:30p,Vancouver Grizzlies,99,Los Angeles Clippers,91,Box Score,,"15,546",/boxscores/200011020LAC.html
27,7:00p,New York Knicks,80,Washington Wizards,76,Box Score,,"20,674",/boxscores/200011030WAS.html
28,7:30p,Toronto Raptors,91,Boston Celtics,93,Box Score,,"17,464",/boxscores/200011030BOS.html
29,7:30p,Miami Heat,79,Charlotte Hornets,83,Box Score,,"14,016",/boxscores/200011030CHH.html
30,7:30p,Philadelphia 76ers,87,Orlando Magic,80,Box Score,,"14,233",/boxscores/200011030ORL.html
31,8:00p,Sacramento Kings,100,Detroit Pistons,93,Box Score,,"22,076",/boxscores/200011030DET.html
32,8:30p,New Jersey Nets,92,Chicago Bulls,82,Box Score,,"21,908",/boxscores/200011030CHI.html
33,3:30p,Los Angeles Lakers,98,Vancouver Grizzlies,89,Box Score,,"18,183",/boxscores/200011040VAN.html
34,7:00p,Chicago Bulls,81,Indiana Pacers,94,Box Score,,"18,345",/boxscores/200011040IND.html
35,7:00p,Washington Wizards,96,Toronto Raptors,103,Box Score,,"18,726",/boxscores/200011040TOR.html
36,7:30p,Orlando Magic,107,Atlanta Hawks,104,Box Score,,"13,833",/boxscores/200011040ATL.html
37,7:30p,Boston Celtics,89,Cleveland Cavaliers,91,Box Score,,"18,392",/boxscores/200011040CLE.html
38,7:30p,Philadelphia 76ers,84,Miami Heat,82,Box Score,,"16,029",/boxscores/200011040MIA.html
39,8:00p,Utah Jazz,112,Dallas Mavericks,106,Box Score,,"16,500",/boxscores/200011040DAL.html
40,8:00p,Sacramento Kings,91,Minnesota Timberwolves,99,Box Score,,"19,006",/boxscores/200011040MIN.html
41,8:00p,Charlotte Hornets,98,New Jersey Nets,87,Box Score,,"11,522",/boxscores/200011040NJN.html
42,8:30p,Detroit Pistons,88,Milwaukee Bucks,97,Box Score,,"18,717",/boxscores/200011040MIL.html
43,9:00p,Phoenix Suns,102,Denver Nuggets,99,Box Score,,"13,312",/boxscores/200011040DEN.html
44,10:00p,Portland Trail Blazers,97,Seattle SuperSonics,90,Box Score,,"17,072",/boxscores/200011040SEA.html
45,10:30p,San Antonio Spurs,117,Golden State Warriors,105,Box Score,,"16,121",/boxscores/200011040GSW.html
46,10:30p,Houston Rockets,74,Los Angeles Clippers,77,Box Score,,"10,797",/boxscores/200011040LAC.html
47,8:00p,Houston Rockets,99,Phoenix Suns,104,Box Score,,"16,735",/boxscores/200011050PHO.html
48,9:30p,Los Angeles Clippers,103,Los Angeles Lakers,108,Box Score,,"18,997",/boxscores/200011050LAL.html
49,7:30p,Seattle SuperSonics,99,Orlando Magic,110,Box Score,,"12,460",/boxscores/200011060ORL.html
50,9:00p,Dallas Mavericks,108,Denver Nuggets,96,Box Score,,"11,190",/boxscores/200011060DEN.html
51,9:00p,Minnesota Timberwolves,92,Utah Jazz,98,Box Score,,"19,911",/boxscores/200011060UTA.html
52,10:00p,Atlanta Hawks,87,Vancouver Grizzlies,97,Box Score,,"11,639",/boxscores/200011060VAN.html
53,10:30p,Portland Trail Blazers,75,Sacramento Kings,79,Box Score,,"17,317",/boxscores/200011060SAC.html
54,7:00p,Boston Celtics,75,Toronto Raptors,105,Box Score,,"17,379",/boxscores/200011070TOR.html
55,8:00p,New York Knicks,103,Milwaukee Bucks,89,Box Score,,"14,246",/boxscores/200011070MIL.html
56,8:30p,Washington Wizards,88,Chicago Bulls,83,Box Score,,"21,312",/boxscores/200011070CHI.html
57,8:30p,Los Angeles Lakers,74,Houston Rockets,84,Box Score,,"14,473",/boxscores/200011070HOU.html
58,9:00p,San Antonio Spurs,81,Phoenix Suns,100,Box Score,,"16,683",/boxscores/200011070PHO.html
59,10:00p,Atlanta Hawks,88,Portland Trail Blazers,97,Box Score,,"19,980",/boxscores/200011070POR.html
60,7:00p,Milwaukee Bucks,97,Indiana Pacers,108,Box Score,,"17,684",/boxscores/200011080IND.html
61,7:00p,Detroit Pistons,94,Philadelphia 76ers,103,Box Score,,"15,986",/boxscores/200011080PHI.html
62,7:00p,New Jersey Nets,102,Washington Wizards,86,Box Score,,"11,532",/boxscores/200011080WAS.html
63,7:30p,Seattle SuperSonics,81,Miami Heat,87,Box Score,,"15,083",/boxscores/200011080MIA.html
64,7:30p,Cleveland Cavaliers,99,New York Knicks,97,Box Score,,"19,763",/boxscores/200011080NYK.html
65,7:30p,Charlotte Hornets,96,Orlando Magic,90,Box Score,,"12,617",/boxscores/200011080ORL.html
66,8:00p,Vancouver Grizzlies,101,Dallas Mavericks,74,Box Score,,"11,500",/boxscores/200011080DAL.html
67,8:00p,Los Angeles Lakers,81,San Antonio Spurs,91,Box Score,,"26,065",/boxscores/200011080SAS.html
68,9:00p,Minnesota Timberwolves,107,Denver Nuggets,109,Box Score,OT,"10,549",/boxscores/200011080DEN.html
69,10:30p,Utah Jazz,93,Los Angeles Clippers,87,Box Score,OT,"10,292",/boxscores/200011080LAC.html
70,10:30p,Golden State Warriors,84,Sacramento Kings,115,Box Score,,"17,317",/boxscores/200011080SAC.html
71,7:30p,Seattle SuperSonics,102,Charlotte Hornets,94,Box Score,,"17,054",/boxscores/200011090CHH.html
72,7:30p,Detroit Pistons,108,New Jersey Nets,94,Box Score,,"10,000",/boxscores/200011090NJN.html
73,8:00p,Philadelphia 76ers,84,Minnesota Timberwolves,82,Box Score,,"16,119",/boxscores/200011090MIN.html
74,8:30p,Orlando Magic,90,Chicago Bulls,95,Box Score,,"21,844",/boxscores/200011090CHI.html
75,8:30p,Vancouver Grizzlies,78,Houston Rockets,85,Box Score,,"10,906",/boxscores/200011090HOU.html
76,9:00p,Atlanta Hawks,79,Phoenix Suns,88,Box Score,,"16,792",/boxscores/200011090PHO.html
77,10:00p,Denver Nuggets,91,Portland Trail Blazers,107,Box Score,,"19,996",/boxscores/200011090POR.html
78,7:00p,Cleveland Cavaliers,88,Toronto Raptors,115,Box Score,,"19,800",/boxscores/200011100TOR.html
79,7:00p,Indiana Pacers,86,Washington Wizards,74,Box Score,,"19,955",/boxscores/200011100WAS.html
80,7:30p,New York Knicks,103,Boston Celtics,101,Box Score,OT,"18,624",/boxscores/200011100BOS.html
81,8:00p,San Antonio Spurs,77,Dallas Mavericks,79,Box Score,,"17,296",/boxscores/200011100DAL.html
82,9:00p,Miami Heat,87,Utah Jazz,80,Box Score,,"19,093",/boxscores/200011100UTA.html
83,10:30p,Sacramento Kings,114,Golden State Warriors,107,Box Score,OT,"17,467",/boxscores/200011100GSW.html
84,10:30p,Atlanta Hawks,106,Los Angeles Clippers,115,Box Score,,"10,396",/boxscores/200011100LAC.html
85,1:00p,Seattle SuperSonics,91,New Jersey Nets,126,Box Score,,"14,443",/boxscores/200011110NJN.html
86,7:00p,Detroit Pistons,84,Indiana Pacers,94,Box Score,,"18,345",/boxscores/200011110IND.html
87,7:30p,Washington Wizards,73,Cleveland Cavaliers,86,Box Score,,"17,336",/boxscores/200011110CLE.html
88,7:30p,Charlotte Hornets,67,New York Knicks,81,Box Score,,"19,763",/boxscores/200011110NYK.html
89,8:00p,Boston Celtics,83,Philadelphia 76ers,85,Box Score,,"19,258",/boxscores/200011110PHI.html
90,8:30p,Toronto Raptors,98,Chicago Bulls,75,Box Score,,"22,387",/boxscores/200011110CHI.html
91,8:30p,Minnesota Timberwolves,103,Milwaukee Bucks,92,Box Score,,"18,717",/boxscores/200011110MIL.html
92,8:30p,Vancouver Grizzlies,78,San Antonio Spurs,91,Box Score,,"18,556",/boxscores/200011110SAS.html
93,9:00p,Miami Heat,82,Phoenix Suns,84,Box Score,,"18,120",/boxscores/200011110PHO.html
94,10:00p,Houston Rockets,88,Portland Trail Blazers,111,Box Score,,"19,992",/boxscores/200011110POR.html
95,6:00p,Seattle SuperSonics,92,Detroit Pistons,101,Box Score,,"14,289",/boxscores/200011120DET.html
96,9:00p,Los Angeles Clippers,79,Denver Nuggets,95,Box Score,,"10,842",/boxscores/200011120DEN.html
97,9:00p,Orlando Magic,105,Golden State Warriors,99,Box Score,OT,"13,626",/boxscores/200011120GSW.html
98,9:00p,Dallas Mavericks,84,Sacramento Kings,109,Box Score,,"17,317",/boxscores/200011120SAC.html
99,9:30p,Houston Rockets,99,Los Angeles Lakers,105,Box Score,,"18,997",/boxscores/200011120LAL.html
100,7:30p,Portland Trail Blazers,94,New Jersey Nets,82,Box Score,,"10,704",/boxscores/200011130NJN.html
101,10:30p,Dallas Mavericks,90,Los Angeles Clippers,76,Box Score,,"9,340",/boxscores/200011130LAC.html
102,7:30p,Portland Trail Blazers,97,Atlanta Hawks,99,Box Score,,"12,610",/boxscores/200011140ATL.html
103,7:30p,Golden State Warriors,86,Cleveland Cavaliers,96,Box Score,,"13,691",/boxscores/200011140CLE.html
104,7:30p,Charlotte Hornets,86,Miami Heat,89,Box Score,OT,"14,983",/boxscores/200011140MIA.html
105,8:00p,Orlando Magic,82,Sacramento Kings,96,Box Score,,"17,317",/boxscores/200011140SAC.html
106,8:30p,Chicago Bulls,83,Houston Rockets,110,Box Score,,"11,724",/boxscores/200011140HOU.html
107,8:30p,Utah Jazz,79,San Antonio Spurs,86,Box Score,,"18,053",/boxscores/200011140SAS.html
108,10:30p,Denver Nuggets,103,Los Angeles Lakers,119,Box Score,,"18,997",/boxscores/200011140LAL.html
109,10:30p,New York Knicks,75,Seattle SuperSonics,96,Box Score,,"17,072",/boxscores/200011140SEA.html
110,7:00p,Washington Wizards,109,Boston Celtics,116,Box Score,,"13,915",/boxscores/200011150BOS.html
111,7:00p,Cleveland Cavaliers,98,Philadelphia 76ers,107,Box Score,,"16,328",/boxscores/200011150PHI.html
112,7:30p,Indiana Pacers,92,Detroit Pistons,88,Box Score,,"14,350",/boxscores/200011150DET.html
113,8:00p,Atlanta Hawks,74,Milwaukee Bucks,84,Box Score,,"13,217",/boxscores/200011150MIL.html
114,8:00p,Golden State Warriors,90,Minnesota Timberwolves,92,Box Score,,"16,034",/boxscores/200011150MIN.html
115,8:00p,Miami Heat,91,New Jersey Nets,93,Box Score,,"13,504",/boxscores/200011150NJN.html
116,9:00p,Dallas Mavericks,78,Phoenix Suns,99,Box Score,,"16,652",/boxscores/200011150PHO.html
117,10:30p,New York Knicks,74,Los Angeles Clippers,78,Box Score,,"12,516",/boxscores/200011150LAC.html
118,7:00p,Portland Trail Blazers,86,Toronto Raptors,80,Box Score,,"19,800",/boxscores/200011160TOR.html
119,7:00p,San Antonio Spurs,99,Washington Wizards,95,Box Score,,"19,832",/boxscores/200011160WAS.html
120,8:00p,Los Angeles Lakers,112,Sacramento Kings,110,Box Score,OT,"17,317",/boxscores/200011160SAC.html
121,8:30p,Charlotte Hornets,80,Houston Rockets,84,Box Score,,"11,028",/boxscores/200011160HOU.html
122,9:00p,Chicago Bulls,85,Denver Nuggets,89,Box Score,,"10,150",/boxscores/200011160DEN.html
123,9:00p,Orlando Magic,84,Utah Jazz,99,Box Score,,"18,851",/boxscores/200011160UTA.html
124,10:00p,Los Angeles Clippers,76,Vancouver Grizzlies,72,Box Score,,"12,210",/boxscores/200011160VAN.html
125,7:00p,Golden State Warriors,92,Indiana Pacers,90,Box Score,,"17,101",/boxscores/200011170IND.html
126,7:00p,Miami Heat,73,Philadelphia 76ers,94,Box Score,,"20,720",/boxscores/200011170PHI.html
127,7:30p,Atlanta Hawks,99,Boston Celtics,106,Box Score,,"13,815",/boxscores/200011170BOS.html
128,7:30p,Detroit Pistons,96,Charlotte Hornets,89,Box Score,,"14,771",/boxscores/200011170CHH.html
129,8:00p,San Antonio Spurs,94,Minnesota Timberwolves,99,Box Score,OT,"17,288",/boxscores/200011170MIN.html
130,8:30p,Cleveland Cavaliers,76,Milwaukee Bucks,89,Box Score,,"13,874",/boxscores/200011170MIL.html
131,9:00p,New York Knicks,90,Phoenix Suns,85,Box Score,,"18,738",/boxscores/200011170PHO.html
132,10:00p,Dallas Mavericks,99,Seattle SuperSonics,95,Box Score,,"12,285",/boxscores/200011170SEA.html
133,7:00p,Milwaukee Bucks,102,Toronto Raptors,111,Box Score,,"19,800",/boxscores/200011180TOR.html
134,7:00p,Boston Celtics,89,Washington Wizards,109,Box Score,,"19,290",/boxscores/200011180WAS.html
135,7:30p,Minnesota Timberwolves,94,Atlanta Hawks,84,Box Score,,"13,036",/boxscores/200011180ATL.html
136,7:30p,Portland Trail Blazers,80,Miami Heat,86,Box Score,,"16,500",/boxscores/200011180MIA.html
137,8:00p,Indiana Pacers,92,New Jersey Nets,97,Box Score,,"12,465",/boxscores/200011180NJN.html
138,8:30p,Phoenix Suns,89,Houston Rockets,94,Box Score,,"12,694",/boxscores/200011180HOU.html
139,9:00p,Los Angeles Lakers,86,Denver Nuggets,87,Box Score,,"19,513",/boxscores/200011180DEN.html
140,9:00p,Chicago Bulls,64,Utah Jazz,109,Box Score,,"17,839",/boxscores/200011180UTA.html
141,10:00p,Dallas Mavericks,91,Vancouver Grizzlies,88,Box Score,,"13,301",/boxscores/200011180VAN.html
142,10:30p,Seattle SuperSonics,86,Los Angeles Clippers,83,Box Score,,"12,271",/boxscores/200011180LAC.html
143,6:00p,Portland Trail Blazers,110,Orlando Magic,102,Box Score,OT,"14,524",/boxscores/200011190ORL.html
144,7:00p,Charlotte Hornets,105,Detroit Pistons,96,Box Score,,"13,088",/boxscores/200011190DET.html
145,8:00p,Golden State Warriors,71,New York Knicks,88,Box Score,,"19,763",/boxscores/200011190NYK.html
146,9:30p,Chicago Bulls,96,Los Angeles Lakers,104,Box Score,,"18,997",/boxscores/200011190LAL.html
147,7:00p,Philadelphia 76ers,114,Boston Celtics,90,Box Score,,"15,209",/boxscores/200011200BOS.html
148,7:00p,Charlotte Hornets,100,Toronto Raptors,64,Box Score,,"17,767",/boxscores/200011200TOR.html
149,9:00p,Dallas Mavericks,107,Utah Jazz,98,Box Score,,"18,869",/boxscores/200011200UTA.html
150,10:00p,Denver Nuggets,95,Vancouver Grizzlies,92,Box Score,,"11,809",/boxscores/200011200VAN.html
151,10:30p,New Jersey Nets,86,Los Angeles Clippers,85,Box Score,,"9,803",/boxscores/200011200LAC.html
152,7:00p,Houston Rockets,101,Indiana Pacers,89,Box Score,,"16,611",/boxscores/200011210IND.html
153,7:00p,Portland Trail Blazers,104,Washington Wizards,94,Box Score,,"14,113",/boxscores/200011210WAS.html
154,7:30p,Detroit Pistons,98,Cleveland Cavaliers,117,Box Score,,"12,683",/boxscores/200011210CLE.html
155,8:00p,Seattle SuperSonics,116,Dallas Mavericks,110,Box Score,,"15,100",/boxscores/200011210DAL.html
156,8:00p,New York Knicks,85,Orlando Magic,84,Box Score,,"14,673",/boxscores/200011210ORL.html
157,10:30p,Chicago Bulls,77,Golden State Warriors,89,Box Score,,"11,263",/boxscores/200011210GSW.html
158,7:00p,Houston Rockets,81,Boston Celtics,96,Box Score,,"13,003",/boxscores/200011220BOS.html
159,7:30p,New York Knicks,74,Atlanta Hawks,78,Box Score,,"12,007",/boxscores/200011220ATL.html
160,7:30p,Philadelphia 76ers,73,Charlotte Hornets,88,Box Score,,"15,306",/boxscores/200011220CHH.html
161,7:30p,Cleveland Cavaliers,86,Miami Heat,67,Box Score,,"14,755",/boxscores/200011220MIA.html
162,8:00p,Portland Trail Blazers,93,Milwaukee Bucks,84,Box Score,,"15,008",/boxscores/200011220MIL.html
163,8:00p,Vancouver Grizzlies,100,Minnesota Timberwolves,101,Box Score,,"16,783",/boxscores/200011220MIN.html
164,8:30p,Seattle SuperSonics,85,San Antonio Spurs,112,Box Score,,"22,828",/boxscores/200011220SAS.html
165,9:00p,New Jersey Nets,85,Phoenix Suns,97,Box Score,,"17,239",/boxscores/200011220PHO.html
166,9:00p,Denver Nuggets,78,Utah Jazz,116,Box Score,,"18,664",/boxscores/200011220UTA.html
167,10:30p,Golden State Warriors,91,Los Angeles Lakers,111,Box Score,,"18,208",/boxscores/200011220LAL.html
168,10:30p,Chicago Bulls,71,Sacramento Kings,100,Box Score,,"17,317",/boxscores/200011220SAC.html
169,8:00p,Toronto Raptors,111,Indiana Pacers,91,Box Score,,"18,345",/boxscores/200011230IND.html
170,7:30p,Philadelphia 76ers,76,Atlanta Hawks,67,Box Score,,"17,601",/boxscores/200011240ATL.html
171,7:30p,Orlando Magic,98,Boston Celtics,103,Box Score,OT,"16,696",/boxscores/200011240BOS.html
172,7:30p,Miami Heat,80,Cleveland Cavaliers,85,Box Score,,"20,562",/boxscores/200011240CLE.html
173,8:00p,Vancouver Grizzlies,96,Detroit Pistons,118,Box Score,,"14,709",/boxscores/200011240DET.html
174,8:00p,Washington Wizards,87,Indiana Pacers,99,Box Score,,"18,345",/boxscores/200011240IND.html
175,8:30p,Charlotte Hornets,106,Milwaukee Bucks,90,Box Score,,"15,102",/boxscores/200011240MIL.html
176,9:00p,San Antonio Spurs,92,Denver Nuggets,102,Box Score,,"13,300",/boxscores/200011240DEN.html
177,9:00p,Golden State Warriors,74,Phoenix Suns,80,Box Score,,"18,684",/boxscores/200011240PHO.html
178,10:00p,Los Angeles Clippers,81,Seattle SuperSonics,98,Box Score,,"13,282",/boxscores/200011240SEA.html
179,10:00p,New Jersey Nets,85,Utah Jazz,97,Box Score,,"18,915",/boxscores/200011240UTA.html
180,10:30p,Minnesota Timberwolves,108,Los Angeles Lakers,115,Box Score,,"18,997",/boxscores/200011240LAL.html
181,1:00p,Toronto Raptors,79,New York Knicks,75,Box Score,,"19,763",/boxscores/200011250NYK.html
182,7:30p,Cleveland Cavaliers,98,Charlotte Hornets,109,Box Score,,"13,791",/boxscores/200011250CHH.html
183,7:30p,Houston Rockets,91,Miami Heat,80,Box Score,,"15,721",/boxscores/200011250MIA.html
184,7:30p,Atlanta Hawks,92,Orlando Magic,114,Box Score,,"13,043",/boxscores/200011250ORL.html
185,8:00p,Denver Nuggets,84,Dallas Mavericks,108,Box Score,,"16,234",/boxscores/200011250DAL.html
186,8:00p,Milwaukee Bucks,100,Washington Wizards,107,Box Score,,"13,157",/boxscores/200011250WAS.html
187,8:30p,Philadelphia 76ers,76,San Antonio Spurs,96,Box Score,,"33,046",/boxscores/200011250SAS.html
188,10:00p,New Jersey Nets,84,Portland Trail Blazers,86,Box Score,,"20,478",/boxscores/200011250POR.html
189,10:30p,Minnesota Timberwolves,93,Golden State Warriors,114,Box Score,,"14,268",/boxscores/200011250GSW.html
190,10:30p,Phoenix Suns,95,Los Angeles Clippers,89,Box Score,OT,"13,510",/boxscores/200011250LAC.html
191,10:30p,Seattle SuperSonics,101,Sacramento Kings,125,Box Score,,"17,317",/boxscores/200011250SAC.html
192,12:30p,Vancouver Grizzlies,98,Boston Celtics,87,Box Score,,"11,551",/boxscores/200011260BOS.html
193,3:00p,Chicago Bulls,89,Toronto Raptors,101,Box Score,,"19,800",/boxscores/200011260TOR.html
194,7:00p,Utah Jazz,94,Detroit Pistons,79,Box Score,,"12,943",/boxscores/200011260DET.html
195,7:30p,Vancouver Grizzlies,72,New York Knicks,97,Box Score,,"19,763",/boxscores/200011270NYK.html
196,7:30p,Milwaukee Bucks,104,Orlando Magic,95,Box Score,,"12,841",/boxscores/200011270ORL.html
197,10:30p,Los Angeles Lakers,98,Los Angeles Clippers,83,Box Score,,"20,039",/boxscores/200011270LAC.html
198,7:00p,Atlanta Hawks,102,Washington Wizards,75,Box Score,,"11,583",/boxscores/200011280WAS.html
199,7:30p,Boston Celtics,87,Cleveland Cavaliers,72,Box Score,,"14,879",/boxscores/200011280CLE.html
200,7:30p,Milwaukee Bucks,102,Miami Heat,101,Box Score,,"14,863",/boxscores/200011280MIA.html
201,7:30p,Utah Jazz,98,New Jersey Nets,92,Box Score,,"12,204",/boxscores/200011280NJN.html
202,8:00p,Toronto Raptors,93,Dallas Mavericks,107,Box Score,,"16,016",/boxscores/200011280DAL.html
203,8:30p,Minnesota Timberwolves,96,Chicago Bulls,76,Box Score,,"22,204",/boxscores/200011280CHI.html
204,8:30p,Sacramento Kings,88,Houston Rockets,81,Box Score,,"11,813",/boxscores/200011280HOU.html
205,10:00p,Seattle SuperSonics,105,Portland Trail Blazers,93,Box Score,,"19,980",/boxscores/200011280POR.html
206,10:30p,Indiana Pacers,107,Los Angeles Lakers,124,Box Score,,"18,997",/boxscores/200011280LAL.html
207,7:00p,Washington Wizards,87,Philadelphia 76ers,93,Box Score,,"16,263",/boxscores/200011290PHI.html
208,7:30p,Toronto Raptors,79,Charlotte Hornets,103,Box Score,,"12,255",/boxscores/200011290CHH.html
209,7:30p,New Jersey Nets,76,Detroit Pistons,97,Box Score,,"11,497",/boxscores/200011290DET.html
210,7:30p,Utah Jazz,88,Orlando Magic,86,Box Score,,"13,645",/boxscores/200011290ORL.html
211,8:00p,Denver Nuggets,107,Minnesota Timberwolves,100,Box Score,,"15,227",/boxscores/200011290MIN.html
212,8:00p,Miami Heat,84,New York Knicks,81,Box Score,,"19,763",/boxscores/200011290NYK.html
213,8:30p,Sacramento Kings,79,San Antonio Spurs,82,Box Score,,"17,341",/boxscores/200011290SAS.html
214,10:00p,Phoenix Suns,106,Vancouver Grizzlies,109,Box Score,2OT,"12,314",/boxscores/200011290VAN.html
215,10:30p,Golden State Warriors,83,Los Angeles Clippers,106,Box Score,,"10,130",/boxscores/200011290LAC.html
216,7:30p,Chicago Bulls,91,Atlanta Hawks,82,Box Score,,"10,956",/boxscores/200011300ATL.html
217,8:00p,Boston Celtics,97,Milwaukee Bucks,108,Box Score,,"13,247",/boxscores/200011300MIL.html
218,9:00p,Houston Rockets,109,Denver Nuggets,105,Box Score,OT,"13,684",/boxscores/200011300DEN.html
219,10:00p,Dallas Mavericks,84,Portland Trail Blazers,95,Box Score,,"19,980",/boxscores/200011300POR.html
220,10:00p,Los Angeles Lakers,88,Seattle SuperSonics,121,Box Score,,"17,072",/boxscores/200011300SEA.html
221,10:30p,Indiana Pacers,95,Golden State Warriors,99,Box Score,,"13,149",/boxscores/200011300GSW.html
222,7:00p,Charlotte Hornets,74,Philadelphia 76ers,95,Box Score,,"18,377",/boxscores/200012010PHI.html
223,7:00p,Los Angeles Clippers,95,Toronto Raptors,104,Box Score,OT,"18,470",/boxscores/200012010TOR.html
224,7:30p,Minnesota Timberwolves,102,Boston Celtics,98,Box Score,,"14,630",/boxscores/200012010BOS.html
225,7:30p,Utah Jazz,94,Miami Heat,92,Box Score,,"15,632",/boxscores/200012010MIA.html
226,7:30p,New Jersey Nets,80,Orlando Magic,83,Box Score,,"13,827",/boxscores/200012010ORL.html
227,8:00p,Cleveland Cavaliers,93,Detroit Pistons,103,Box Score,,"15,323",/boxscores/200012010DET.html
228,8:30p,New York Knicks,91,Chicago Bulls,86,Box Score,,"22,099",/boxscores/200012010CHI.html
229,10:00p,Indiana Pacers,86,Vancouver Grizzlies,76,Box Score,OT,"11,758",/boxscores/200012010VAN.html
230,10:30p,San Antonio Spurs,100,Los Angeles Lakers,109,Box Score,,"18,997",/boxscores/200012010LAL.html
231,10:30p,Phoenix Suns,98,Sacramento Kings,105,Box Score,,"17,317",/boxscores/200012010SAC.html
232,2:30p,Milwaukee Bucks,94,Atlanta Hawks,101,Box Score,,"9,827",/boxscores/200012020ATL.html
233,7:30p,Utah Jazz,89,Charlotte Hornets,94,Box Score,,"13,360",/boxscores/200012020CHH.html
234,7:30p,Philadelphia 76ers,112,Cleveland Cavaliers,78,Box Score,,"20,562",/boxscores/200012020CLE.html
235,7:30p,Orlando Magic,95,New Jersey Nets,74,Box Score,,"14,897",/boxscores/200012020NJN.html
236,7:30p,Minnesota Timberwolves,90,New York Knicks,100,Box Score,,"19,763",/boxscores/200012020NYK.html
237,8:00p,Miami Heat,93,Washington Wizards,90,Box Score,,"20,674",/boxscores/200012020WAS.html
238,8:30p,Portland Trail Blazers,96,Houston Rockets,85,Box Score,,"12,648",/boxscores/200012020HOU.html
239,9:00p,Seattle SuperSonics,92,Denver Nuggets,103,Box Score,,"14,234",/boxscores/200012020DEN.html
240,10:30p,Dallas Mavericks,97,Golden State Warriors,78,Box Score,,"12,187",/boxscores/200012020GSW.html
241,12:30p,Los Angeles Clippers,87,Boston Celtics,96,Box Score,,"13,583",/boxscores/200012030BOS.html
242,3:00p,Indiana Pacers,80,Milwaukee Bucks,92,Box Score,,"15,446",/boxscores/200012030MIL.html
243,3:30p,San Antonio Spurs,97,Vancouver Grizzlies,79,Box Score,,"11,655",/boxscores/200012030VAN.html
244,7:00p,Washington Wizards,87,Detroit Pistons,93,Box Score,,"12,137",/boxscores/200012030DET.html
245,8:00p,Portland Trail Blazers,79,Phoenix Suns,84,Box Score,,"17,621",/boxscores/200012030PHO.html
246,9:00p,Golden State Warriors,102,Seattle SuperSonics,118,Box Score,,"11,669",/boxscores/200012030SEA.html
247,9:30p,Dallas Mavericks,97,Los Angeles Lakers,99,Box Score,,"18,997",/boxscores/200012030LAL.html
