,Start,Away,A-Pts-F,Home,H-Pts-F,Box,OT?,Attend.,Link
4824,8:30p,Toronto Raptors,89,Houston Rockets,90,Box Score,OT,"14,388",/boxscores/200403240HOU.html
4825,9:00p,Minnesota Timberwolves,92,Denver Nuggets,101,Box Score,,"19,099",/boxscores/200403240DEN.html
4826,10:00p,Los Angeles Clippers,85,Portland Trail Blazers,91,Box Score,,"14,211",/boxscores/200403240POR.html
4827,10:00p,Utah Jazz,77,Seattle SuperSonics,84,Box Score,,"17,072",/boxscores/200403240SEA.html
4828,10:30p,Milwaukee Bucks,89,Golden State Warriors,98,Box Score,,"14,367",/boxscores/200403240GSW.html
4829,10:30p,Sacramento Kings,91,Los Angeles Lakers,115,Box Score,,"18,997",/boxscores/200403240LAL.html
4830,7:30p,New Orleans Hornets,76,Atlanta Hawks,84,Box Score,,"14,899",/boxscores/200403250ATL.html
4831,8:30p,Detroit Pistons,75,San Antonio Spurs,84,Box Score,,"17,695",/boxscores/200403250SAS.html
4832,10:30p,Washington Wizards,103,Los Angeles Clippers,94,Box Score,,"15,293",/boxscores/200403250LAC.html
4833,7:00p,Indiana Pacers,107,Orlando Magic,92,Box Score,,"15,571",/boxscores/200403260ORL.html
4834,7:00p,Cleveland Cavaliers,71,Philadelphia 76ers,86,Box Score,,"20,804",/boxscores/200403260PHI.html
4835,7:30p,Dallas Mavericks,118,Miami Heat,119,Box Score,OT,"16,500",/boxscores/200403260MIA.html
4836,7:30p,Toronto Raptors,101,New York Knicks,108,Box Score,,"19,763",/boxscores/200403260NYK.html
4837,8:00p,New Jersey Nets,93,Boston Celtics,102,Box Score,,"18,624",/boxscores/200403260BOS.html
4838,8:00p,Houston Rockets,86,Memphis Grizzlies,109,Box Score,,"19,062",/boxscores/200403260MEM.html
4839,8:00p,Phoenix Suns,99,New Orleans Hornets,94,Box Score,,"13,108",/boxscores/200403260NOH.html
4840,8:30p,Milwaukee Bucks,115,Chicago Bulls,105,Box Score,,"21,246",/boxscores/200403260CHI.html
4841,10:30p,Washington Wizards,78,Golden State Warriors,99,Box Score,,"15,769",/boxscores/200403260GSW.html
4842,10:30p,Minnesota Timberwolves,73,Los Angeles Lakers,90,Box Score,,"18,997",/boxscores/200403260LAL.html
4843,10:30p,Denver Nuggets,86,Seattle SuperSonics,102,Box Score,,"17,072",/boxscores/200403260SEA.html
4844,7:00p,Chicago Bulls,88,Atlanta Hawks,97,Box Score,,"12,466",/boxscores/200403270ATL.html
4845,7:30p,New Jersey Nets,104,Cleveland Cavaliers,107,Box Score,,"20,562",/boxscores/200403270CLE.html
4846,7:30p,New York Knicks,85,Detroit Pistons,100,Box Score,,"22,076",/boxscores/200403270DET.html
4847,8:30p,Phoenix Suns,76,San Antonio Spurs,105,Box Score,,"18,797",/boxscores/200403270SAS.html
4848,9:00p,Denver Nuggets,83,Utah Jazz,85,Box Score,,"19,911",/boxscores/200403270UTA.html
4849,10:00p,Seattle SuperSonics,108,Portland Trail Blazers,115,Box Score,OT,"18,554",/boxscores/200403270POR.html
4850,10:30p,Minnesota Timberwolves,98,Los Angeles Clippers,82,Box Score,,"19,424",/boxscores/200403270LAC.html
4851,1:00p,Memphis Grizzlies,94,Toronto Raptors,88,Box Score,,"19,088",/boxscores/200403280TOR.html
4852,1:30p,Dallas Mavericks,118,Orlando Magic,88,Box Score,,"16,428",/boxscores/200403280ORL.html
4853,4:00p,Houston Rockets,111,Milwaukee Bucks,107,Box Score,OT,"18,717",/boxscores/200403280MIL.html
4854,5:00p,Miami Heat,80,Indiana Pacers,87,Box Score,,"17,284",/boxscores/200403280IND.html
4855,6:30p,Philadelphia 76ers,65,Boston Celtics,89,Box Score,,"18,624",/boxscores/200403280BOS.html
4856,7:00p,Washington Wizards,92,Sacramento Kings,100,Box Score,,"17,317",/boxscores/200403280SAC.html
4857,9:00p,Los Angeles Clippers,77,Golden State Warriors,105,Box Score,,"15,410",/boxscores/200403280GSW.html
4858,9:30p,Utah Jazz,84,Los Angeles Lakers,91,Box Score,,"18,997",/boxscores/200403280LAL.html
4859,7:30p,Memphis Grizzlies,136,Atlanta Hawks,133,Box Score,2OT,"12,665",/boxscores/200403290ATL.html
4860,7:30p,Chicago Bulls,96,Miami Heat,105,Box Score,,"16,500",/boxscores/200403290MIA.html
4861,7:30p,Boston Celtics,84,New Jersey Nets,80,Box Score,,"14,976",/boxscores/200403290NJN.html
4862,7:30p,Portland Trail Blazers,91,New York Knicks,92,Box Score,,"19,763",/boxscores/200403290NYK.html
4863,8:30p,Minnesota Timberwolves,94,Houston Rockets,88,Box Score,,"16,270",/boxscores/200403290HOU.html
4864,8:30p,Cleveland Cavaliers,93,San Antonio Spurs,101,Box Score,,"18,797",/boxscores/200403290SAS.html
4865,9:00p,Washington Wizards,95,Phoenix Suns,101,Box Score,,"15,124",/boxscores/200403290PHO.html
4866,7:00p,Golden State Warriors,71,Philadelphia 76ers,95,Box Score,,"17,048",/boxscores/200403300PHI.html
4867,8:00p,Indiana Pacers,86,Milwaukee Bucks,95,Box Score,,"17,245",/boxscores/200403300MIL.html
4868,8:30p,Cleveland Cavaliers,109,Dallas Mavericks,126,Box Score,,"20,575",/boxscores/200403300DAL.html
4869,9:00p,Seattle SuperSonics,119,Denver Nuggets,124,Box Score,,"17,699",/boxscores/200403300DEN.html
4870,10:30p,New Orleans Hornets,88,Los Angeles Lakers,107,Box Score,,"18,997",/boxscores/200403300LAL.html
4871,7:00p,Portland Trail Blazers,105,Boston Celtics,98,Box Score,,"15,423",/boxscores/200403310BOS.html
4872,7:00p,Milwaukee Bucks,78,Indiana Pacers,111,Box Score,,"15,577",/boxscores/200403310IND.html
4873,7:00p,Chicago Bulls,109,Orlando Magic,91,Box Score,,"13,017",/boxscores/200403310ORL.html
4874,7:00p,New Jersey Nets,103,Washington Wizards,99,Box Score,OT,"16,483",/boxscores/200403310WAS.html
4875,7:30p,Miami Heat,100,Atlanta Hawks,97,Box Score,,"17,055",/boxscores/200403310ATL.html
4876,7:30p,Los Angeles Clippers,99,Detroit Pistons,108,Box Score,,"22,076",/boxscores/200403310DET.html
4877,7:30p,Golden State Warriors,85,Toronto Raptors,78,Box Score,,"17,116",/boxscores/200403310TOR.html
4878,8:00p,Seattle SuperSonics,83,Minnesota Timberwolves,90,Box Score,,"19,006",/boxscores/200403310MIN.html
4879,8:30p,Sacramento Kings,89,San Antonio Spurs,107,Box Score,,"18,797",/boxscores/200403310SAS.html
4880,9:00p,New Orleans Hornets,76,Utah Jazz,89,Box Score,,"19,911",/boxscores/200403310UTA.html
4881,7:00p,Portland Trail Blazers,88,Philadelphia 76ers,82,Box Score,,"17,738",/boxscores/200404010PHI.html
4882,8:00p,Sacramento Kings,117,Dallas Mavericks,127,Box Score,,"20,533",/boxscores/200404010DAL.html
4883,10:30p,Houston Rockets,85,Los Angeles Lakers,93,Box Score,,"18,997",/boxscores/200404010LAL.html
4884,7:00p,Atlanta Hawks,95,Orlando Magic,87,Box Score,,"13,760",/boxscores/200404020ORL.html
4885,7:30p,Golden State Warriors,106,Boston Celtics,111,Box Score,,"17,960",/boxscores/200404020BOS.html
4886,7:30p,Toronto Raptors,64,Indiana Pacers,84,Box Score,,"17,775",/boxscores/200404020IND.html
4887,8:00p,Miami Heat,84,Detroit Pistons,92,Box Score,,"22,076",/boxscores/200404020DET.html
4888,8:00p,Phoenix Suns,99,Memphis Grizzlies,109,Box Score,,"19,351",/boxscores/200404020MEM.html
4889,8:00p,Washington Wizards,73,Minnesota Timberwolves,91,Box Score,,"19,159",/boxscores/200404020MIN.html
4890,8:00p,New York Knicks,83,New Jersey Nets,108,Box Score,,"19,968",/boxscores/200404020NJN.html
4891,8:30p,Los Angeles Clippers,110,Chicago Bulls,114,Box Score,OT,"19,443",/boxscores/200404020CHI.html
4892,8:30p,Cleveland Cavaliers,89,Milwaukee Bucks,107,Box Score,,"17,813",/boxscores/200404020MIL.html
4893,9:00p,Houston Rockets,100,Denver Nuggets,110,Box Score,,"19,680",/boxscores/200404020DEN.html
4894,9:00p,San Antonio Spurs,94,Utah Jazz,81,Box Score,,"19,911",/boxscores/200404020UTA.html
4895,10:30p,Los Angeles Lakers,97,Seattle SuperSonics,86,Box Score,,"17,072",/boxscores/200404020SEA.html
4896,7:00p,New York Knicks,86,Philadelphia 76ers,75,Box Score,,"20,686",/boxscores/200404030PHI.html
4897,7:30p,Golden State Warriors,103,Cleveland Cavaliers,100,Box Score,,"20,562",/boxscores/200404030CLE.html
4898,8:30p,Miami Heat,97,Chicago Bulls,83,Box Score,,"17,764",/boxscores/200404030CHI.html
4899,8:30p,Phoenix Suns,103,Dallas Mavericks,124,Box Score,,"20,348",/boxscores/200404030DAL.html
4900,10:00p,New Orleans Hornets,94,Portland Trail Blazers,81,Box Score,,"18,603",/boxscores/200404030POR.html
4901,1:00p,Indiana Pacers,61,Detroit Pistons,79,Box Score,,"22,076",/boxscores/200404040DET.html
4902,1:00p,Sacramento Kings,99,Houston Rockets,94,Box Score,,"18,148",/boxscores/200404040HOU.html
4903,1:00p,Milwaukee Bucks,90,Toronto Raptors,83,Box Score,,"17,276",/boxscores/200404040TOR.html
4904,2:00p,Boston Celtics,102,Washington Wizards,112,Box Score,,"18,406",/boxscores/200404040WAS.html
4905,3:30p,San Antonio Spurs,95,Los Angeles Lakers,89,Box Score,,"18,997",/boxscores/200404040LAL.html
4906,3:30p,Memphis Grizzlies,82,Minnesota Timberwolves,90,Box Score,,"19,068",/boxscores/200404040MIN.html
4907,8:00p,Atlanta Hawks,89,New Jersey Nets,106,Box Score,,"16,134",/boxscores/200404040NJN.html
4908,9:00p,New Orleans Hornets,88,Seattle SuperSonics,96,Box Score,,"17,072",/boxscores/200404040SEA.html
4909,9:30p,Utah Jazz,97,Los Angeles Clippers,92,Box Score,,"17,453",/boxscores/200404040LAC.html
4910,9:00p,Memphis Grizzlies,81,Utah Jazz,92,Box Score,,"19,911",/boxscores/200404050UTA.html
4911,7:30p,Philadelphia 76ers,103,Atlanta Hawks,100,Box Score,OT,"14,361",/boxscores/200404060ATL.html
4912,7:30p,Toronto Raptors,87,Cleveland Cavaliers,86,Box Score,,"20,071",/boxscores/200404060CLE.html
4913,7:30p,Orlando Magic,86,Detroit Pistons,102,Box Score,,"22,076",/boxscores/200404060DET.html
4914,7:30p,Milwaukee Bucks,103,New Jersey Nets,98,Box Score,,"13,967",/boxscores/200404060NJN.html
4915,8:00p,New York Knicks,86,Indiana Pacers,107,Box Score,,"17,277",/boxscores/200404060IND.html
4916,8:30p,Seattle SuperSonics,108,Dallas Mavericks,118,Box Score,,"20,223",/boxscores/200404060DAL.html
4917,10:00p,Portland Trail Blazers,91,Los Angeles Lakers,80,Box Score,,"18,997",/boxscores/200404060LAL.html
4918,10:00p,New Orleans Hornets,91,Sacramento Kings,105,Box Score,,"17,317",/boxscores/200404060SAC.html
4919,10:30p,Houston Rockets,90,Golden State Warriors,97,Box Score,,"19,596",/boxscores/200404060GSW.html
4920,7:30p,Boston Celtics,101,Miami Heat,104,Box Score,,"16,500",/boxscores/200404070MIA.html
4921,7:30p,Chicago Bulls,82,New York Knicks,96,Box Score,,"19,763",/boxscores/200404070NYK.html
4922,7:30p,Indiana Pacers,94,Toronto Raptors,90,Box Score,,"17,554",/boxscores/200404070TOR.html
4923,8:00p,Cleveland Cavaliers,74,Memphis Grizzlies,92,Box Score,,"19,351",/boxscores/200404070MEM.html
4924,8:00p,Washington Wizards,107,Milwaukee Bucks,116,Box Score,,"17,002",/boxscores/200404070MIL.html
4925,8:30p,Seattle SuperSonics,75,San Antonio Spurs,96,Box Score,,"18,797",/boxscores/200404070SAS.html
4926,10:00p,Denver Nuggets,111,Phoenix Suns,96,Box Score,,"16,797",/boxscores/200404070PHO.html
4927,10:00p,Golden State Warriors,81,Portland Trail Blazers,87,Box Score,,"15,722",/boxscores/200404070POR.html
4928,10:30p,Houston Rockets,102,Los Angeles Clippers,79,Box Score,,"19,469",/boxscores/200404070LAC.html
4929,7:30p,Orlando Magic,81,New Jersey Nets,101,Box Score,,"18,515",/boxscores/200404080NJN.html
4930,8:30p,Utah Jazz,94,Dallas Mavericks,117,Box Score,,"20,226",/boxscores/200404080DAL.html
4931,10:00p,Minnesota Timberwolves,94,Sacramento Kings,86,Box Score,,"17,317",/boxscores/200404080SAC.html
4932,7:00p,Washington Wizards,83,Philadelphia 76ers,80,Box Score,,"19,192",/boxscores/200404090PHI.html
4933,7:30p,Cleveland Cavaliers,91,Miami Heat,106,Box Score,,"20,213",/boxscores/200404090MIA.html
4934,8:00p,Toronto Raptors,66,Detroit Pistons,74,Box Score,,"22,076",/boxscores/200404090DET.html
4935,8:00p,New Jersey Nets,80,Indiana Pacers,90,Box Score,,"18,345",/boxscores/200404090IND.html
4936,8:00p,Boston Celtics,80,New Orleans Hornets,89,Box Score,,"15,652",/boxscores/200404090NOH.html
4937,8:30p,Atlanta Hawks,116,Chicago Bulls,101,Box Score,,"21,184",/boxscores/200404090CHI.html
4938,8:30p,Denver Nuggets,103,Houston Rockets,106,Box Score,,"18,148",/boxscores/200404090HOU.html
4939,8:30p,Portland Trail Blazers,74,San Antonio Spurs,84,Box Score,,"18,797",/boxscores/200404090SAS.html
4940,10:30p,Minnesota Timberwolves,92,Golden State Warriors,74,Box Score,,"19,753",/boxscores/200404090GSW.html
4941,10:30p,Memphis Grizzlies,95,Los Angeles Lakers,103,Box Score,,"18,997",/boxscores/200404090LAL.html
4942,10:30p,Sacramento Kings,96,Phoenix Suns,101,Box Score,,"18,422",/boxscores/200404090PHO.html
4943,3:30p,Dallas Mavericks,99,Seattle SuperSonics,119,Box Score,,"17,072",/boxscores/200404100SEA.html
4944,7:00p,Boston Celtics,99,Atlanta Hawks,110,Box Score,,"14,616",/boxscores/200404100ATL.html
4945,7:00p,Detroit Pistons,101,Orlando Magic,89,Box Score,,"15,571",/boxscores/200404100ORL.html
4946,7:00p,New York Knicks,102,Washington Wizards,98,Box Score,OT,"17,524",/boxscores/200404100WAS.html
4947,7:30p,Miami Heat,80,Cleveland Cavaliers,91,Box Score,,"20,562",/boxscores/200404100CLE.html
4948,8:30p,New Orleans Hornets,92,Milwaukee Bucks,87,Box Score,,"18,717",/boxscores/200404100MIL.html
4949,9:00p,Portland Trail Blazers,100,Denver Nuggets,110,Box Score,OT,"19,794",/boxscores/200404100DEN.html
4950,9:00p,Houston Rockets,69,Utah Jazz,82,Box Score,,"19,911",/boxscores/200404100UTA.html
4951,1:00p,Philadelphia 76ers,75,New Jersey Nets,89,Box Score,,"14,796",/boxscores/200404110NJN.html
4952,1:00p,Chicago Bulls,114,Toronto Raptors,108,Box Score,OT,"17,362",/boxscores/200404110TOR.html
4953,3:30p,Los Angeles Lakers,85,Sacramento Kings,102,Box Score,,"17,317",/boxscores/200404110SAC.html
4954,9:00p,Dallas Mavericks,107,Golden State Warriors,108,Box Score,,"14,759",/boxscores/200404110GSW.html
4955,9:00p,Memphis Grizzlies,83,Phoenix Suns,89,Box Score,,"15,216",/boxscores/200404110PHO.html
4956,9:30p,San Antonio Spurs,88,Los Angeles Clippers,79,Box Score,,"18,031",/boxscores/200404110LAC.html
4957,7:00p,Miami Heat,84,Boston Celtics,77,Box Score,,"15,730",/boxscores/200404120BOS.html
4958,7:00p,Milwaukee Bucks,89,Cleveland Cavaliers,93,Box Score,,"20,562",/boxscores/200404120CLE.html
4959,7:30p,New Jersey Nets,107,Atlanta Hawks,129,Box Score,,"11,400",/boxscores/200404120ATL.html
4960,7:30p,Washington Wizards,79,Detroit Pistons,101,Box Score,,"22,076",/boxscores/200404120DET.html
